codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
20-01-0024-46,20-01-1142,CHIQUIMULA,CHIQUIMULA,ESCUELA DE CIENCIAS COMERCIALES NOCTURNA,10A. AVENIDA 3-71 ZONA 1,41494622,CÉSAR ADALBERTO NOGUERA JÁCOME,HECTOR ALIDIO CERÓN BRENES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0028-46,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO CIENTÍFICO EN INFORMÁTICA, ELECTRÓNICA Y TELECOMUNICACIONES ADY",3A. CALLE 8-41 ZONA 1,66206263-79420025,SILVIA MARILENA BUEZO MARTINEZ,GLADYS HAYDEE SOLARES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0029-46,20-01-1144,CHIQUIMULA,CHIQUIMULA,INSTITUTO DIVERSIFICADO ADS. AL INEB 'DR. DAVID GUERRA GUZMAN',2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1,79497213,CESAR HELAMAN GARCÍA LÓPEZ,ROMEO RIVERA CHACÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0030-46,20-01-1144,CHIQUIMULA,CHIQUIMULA,ESCUELA NACIONAL DE MAESTROS DE EDUCACION MUSICAL PEM OSCAR AUGUSTO MATEO MORALES,2A CALLE Y 12 AVENIDA ZONA 1,56300566,CESAR HELAMAN GARCÍA LÓPEZ,JOSÉ VICENTE REYES SOLÍS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0031-46,20-01-1145,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,79420290,LUIS GUSTAVO SAGASTUME CONTRERAS,ERWIN LEONEL COLINDRES MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0032-46,20-01-1148,CHIQUIMULA,CHIQUIMULA,"COLEGIO EVANGÉLICO MIXTO ""AMIGOS""",10MA AVENIDA 5-38 ZONA 1,79420116,SILVIA MARILENA BUEZO MARTÍNEZ,ROXANA LISBETH URRUTIA PINTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0033-46,20-01-1146,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4TA. AVENIDA 4-20 ZONA 1,79425959,MERY ELISABET CALDERÓN CASTILLO,SALOMON ELIASIB ALVAREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0034-46,20-01-1142,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA SEÑORITAS DE ORIENTE,4A. CALLE 6-00 ZONA 1,59799216,CÉSAR ADALBERTO NOGUERA JÁCOME,MIRNA ELIZABETH QUIROA LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0036-46,20-01-1149,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A AVE. 4-10 ZONA 1,42102776,BYRON HORACIO SARCEÑO ZEPEDA,BALVINO CHACÓN PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0038-46,20-01-1148,CHIQUIMULA,CHIQUIMULA,"""LICEO LA SALLE""",6A CALLE 3-61 ZONA 1,79420328,SILVIA MARILENA BUEZO MARTÍNEZ,CARLOS ORLANDO TOLEDO GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0040-46,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA',6A AVE. 5-68 ZONA 1,79420232,CESAR HELAMAN GARCÍA LÓPEZ,SHENY MARÍA FAJARDO MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0041-46,20-01-1187,CHIQUIMULA,CHIQUIMULA,INSTITUTO MODERNO CHIQUIMULTECO,CALLE HUGO LEONEL BACARO 9-30 ZONA 1,,KAREN SUCETH GUERRA CALDERÓN,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0119-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,6A. CALLE 5-17 ZONA 1,79492282,SILVIA MARILENA BUEZO MARTINEZ,---,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0129-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5A. CALLE 1-40 ZONA 1,79423558,SILVIA MARILENA BUEZO MARTINEZ,---,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0131-46,20-038,CHIQUIMULA,CHIQUIMULA,ESCUELA PRIVADA DE EDUCACION FISICA DE ORIENTE,,,RICARDO URIEL SAMAYOA TRIGUEROS,---,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0132-46,20-038,CHIQUIMULA,CHIQUIMULA,ESCUELA PRIVADA DE EDUCACION FISICA DE ORIENTE,,,RICARDO URIEL SAMAYOA TRIGUEROS,---,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0164-46,20-01-1146,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4TA. AVENIDA 4-20 ZONA 1,79422349,MERY ELISABET CALDERÓN CASTILLO,SALOMON ELIASIB ALVAREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0174-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1A. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,JOSE DAVID BERCLAN LARA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0176-46,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO BENDICION,4A. CALLE A 13-25 ZONA 1,41007884,CESAR HELAMAN GARCÍA LÓPEZ,AXEL YOVANY VILLELA MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0178-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,MERARI JASMÍN DE LEÓN CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0179-46,20-01-1148,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTÍNEZ,MERARI JASMÍN DE LEÓN CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0181-46,20-01-1187,CHIQUIMULA,CHIQUIMULA,LICEO SAN PABLO,2A. CALLE 4-40 ZONA 1,79421747,KAREN SUCETH GUERRA CALDERÓN,EDGAR RENE ANDRADE SAENZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0182-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,6A CALLE 5-17 ZONA 1,79626334,SILVIA MARILENA BUEZO MARTINEZ,EDNA GRACIELA PINTO SAGASTUME,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0183-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,2A. CALLE 4-40 ZONA 1,,SILVIA MARILENA BUEZO MARTINEZ,JOSE LUIS LOPEZ PERALTA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0184-46,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,2DA. CALLE 4-40 ZONA 1,,KAREN SUCETH GUERRA CALDERÓN,JOSE LUIS LOPEZ PERALTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0185-46,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO CIENTIFICO EN INFORMATICA, ELECTRONICA Y TELECOMUNICACIONES ADY",3A. CALLE 8-41 ZONA 1,50949178,SILVIA MARILENA BUEZO MARTINEZ,GLADYS HAYDEE SOLARES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0194-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,KOKMAN ANGEL CHANG BARELA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0197-46,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,30631989,KAREN SUCETH GUERRA CALDERÓN,MIGUEL ANGEL MAYORGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0198-46,20-01-1146,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGIA LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,54706013,MERY ELISABET CALDERÓN CASTILLO,JAQUELINE EDITH SANTIAGO RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0204-46,20-01-1146,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4A. AVENIDA 4-20 ZONA 1,79425959,MERY ELISABET CALDERÓN CASTILLO,SALOMON ELIASIB ALVAREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0205-46,20-01-1143,CHIQUIMULA,CHIQUIMULA,CENTRO EDUCATIVO INTEGRAL CASA DEL ALFARERO,14 AVENIDA 5-23 ZONA 7 COLONIA SHOROPIN,37590030,NINETH DEL ROSARIO MORALES SANCE DE REYES,KATHERINE JAZMIN GREGORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0207-46,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMÁTICA HIGA,1A. CALLE 5-61 ZONA 2,44043628,KAREN SUCETH GUERRA CALDERÓN,MIGUEL ANGEL MAYORGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0213-46,20-01-1142,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5A. CALLE 4-11 ZONA 1,79422500,CÉSAR ADALBERTO NOGUERA JÁCOME,GLADYS EUGENIA RODRÍGUEZ RAMÍREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0216-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5TA. CALLE 4-11 ZONA 1,79422500,SILVIA MARILENA BUEZO MARTINEZ,MÁRILYN TATIANA SALGUERO ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0217-46,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO CIENTÍFICO EN INFORMÁTICA, ELECTRÓNICA Y TELECOMUNICACIONES ADY",3RA. CALLE 8-41 ZONA 1,79422774,SILVIA MARILENA BUEZO MARTINEZ,GLADYS HAYDEE SOLARES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0221-46,20-01-1145,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2DA. CALLE 4-40 ZONA 1,79420290,LUIS GUSTAVO SAGASTUME CONTRERAS,ERWIN LEONEL COLINDRES MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0223-46,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO CIENTÍFICO EN INFORMÁTICA, ELECTRÓNICA Y TELECOMUNICACIONES ADY",3RA. CALLE 8-41 ZONA 1,59457725,SILVIA MARILENA BUEZO MARTINEZ,GLADYS HAYDEE SOLARES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0232-46,20-01-1147,CHIQUIMULA,CHIQUIMULA,COLEGIO BILINGÜE MI PEQUEÑO MUNDO (MY SMALL WORLD BILINGUAL SCHOOL),8VA. AVENIDA SUR FINAL 1-18 ZONA 4,79425429,VALESKA LILIAM ESPERANZA ARGUETA REYES,ANGÉLICA MARÍA MEJÍA MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
20-01-0235-46,20-01-1146,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGÍA LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,54706013,MERY ELISABET CALDERÓN CASTILLO,JAQUELINE EDITH SANTIAGO RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIQUIMULA,20,
